Index,Unnamed: 0,Star_name,Distance,Mass,Radius
150,53,2MASS J04362788-4114465,142,0.037228932,0.20244310999999998
151,54,2MASS J04390101-2353083 [de],29.5,0.045820224,0.09968010999999999
153,56,2MASS J04433764+0002040,82,0.021000936,0.18291813999999998
154,57,2MASS J04455387-3048204 [de],42,0.061093632,0.102763
155,58,2MASS J04510093-3402150 [de],69,0.00099277152,7.398935999999999
156,59,2MASS J05002100+0330501 [de],44,0.061093632,0.102763
157,60,2MASS J05012406-0010452 [de],64,0.020046348000000002,0.14181293999999997
158,61,2MASS J05160945-0445499 [de],73,0.044865636,0.09968010999999999
159,62,2MASS J0523−1403,40,0.064911984,0.10379063
161,64,SDSS J053951.99-005902.0,41.62,0.058229868000000004,0.10379063
163,66,LSR 0602+3910 [de],34.6,0.026728464,0.14489582999999998
164,67,2MASS J06085283-2753583,102,0.036274344,0.15517213
167,70,2MASS J06244595-4521548 [de],39,0.053456928,0.10173536999999999
168,71,2MASS J06411840-4322329 [de],65,0.063957396,0.10379063
169,72,DENIS-P J0652197-253450 [de],51,0.07159410000000001,0.10790115
171,74,2MASS J07075327-4900503,60,0.068730336,0.10584589
172,75,UGPS J072227.51-054031.2,13.4,0.024819288000000002,0.10070773999999999
173,76,2MASSI J0727182+171001 [de],29.6,0.039138108,0.09659721999999998
174,77,2MASS J07290002-3954043 [de],25.8,0.035319756,0.09659721999999998
175,78,SDSS J074201.41+205520.5 [de],49,0.041047284,0.09659721999999998
177,80,DENIS-P J0751164-253043 [de],55,0.067775748,0.10584589
178,81,2MASS J07522390+1612157,60,0.00191872188,6.987883999999999
179,82,DENIS J081730.0-615520,16.1,0.042001872,0.09659721999999998
182,85,2MASS J08251968+2115521 [de],35,0.049638576000000004,0.10070773999999999
183,86,SDSSp J083008.12+482847.4 [de],43,0.045820224,0.10173536999999999
184,87,LHS 2021,55,0.084003744,0.11817744999999999
185,88,SDSS J083048.80+012831.1 [de],77,0.043911048,0.09865247999999999
186,89,2MASSI J0835425-081923 [de],23.53,0.059184456,0.102763
187,90,2MASSI J0847287-153237 [de],43,0.061093632,0.102763
188,91,2MASS J08533619-0329321,27.6,0.073503276,0.10995641
189,92,2MASSI J0859254-194926 [de],50,0.0477294,0.10070773999999999
191,94,2MASSI J0937347+293142,20.0,0.040092696000000004,0.09659721999999998
192,95,2MASS 0939−2448,17.4,0.030546816,0.09762484999999999
193,96,2MASS J09490860-1545485 [de],59,0.046774812,0.09865247999999999
194,97,2MASS J10073369-4555147,46,0.042001872,0.09659721999999998
195,98,2MASSI J1010148-040649 [de],55,0.048683988000000004,0.10070773999999999
198,101,2MASS J10224821+5825453 [de],60,0.025773876,0.14489582999999998
199,102,2MASSW J1036530-344138 [de],53,0.046774812,0.09968010999999999
200,103,2MASS J1047538+212423 [de],34.4,0.040092696000000004,0.09659721999999998
201,104,DEN 1048-3956,13.15,0.073503276,0.10995641
202,105,Luhman 16B,6.516,0.041047284,0.10481826
203,106,Luhman 16A,6.516,0.03818352,0.10379063
204,107,DENIS-P J1058.7−1548,49,0.061093632,0.102763
205,108,TWA 28,180,0.034365168,0.24560357
206,109,Cha 110913-773444,163,0.007636704,0.18497339999999998
208,111,SDSS J111010.01+011613.1,63,0.008591292,0.12742612
209,112,2MASS J11145133−2618235,18.2,0.031501404000000004,0.09865247999999999
210,113,TWA 26,137,0.028637640000000002,0.2260786
212,115,2MASS J11544223-3400390 [de],129,0.035319756,0.1541445
213,116,2MASSW J1155395-372735 [de],31,0.061093632,0.102763
216,119,2MASS J12074836-3900043,217,0.016227996,0.17572473
217,120,2MASSI J1217110-031113 [de],36,0.040092696000000004,0.09659721999999998
220,123,2M 1237+6526,45.6,0.039138108,0.09659721999999998
222,125,TWA 29,262,0.001909176,2.5690749999999998
223,126,SDSSp J125453.90-012247.4 [de],38,0.044865636,0.10070773999999999
224,127,Kelu-1A,61,0.060139044,0.10070773999999999
225,128,Kelu-1B,61,0.055366104,0.10070773999999999
226,129,2MASS J13204427+0409045,101,0.063957396,0.10379063
